,5g,Abrasives,Aerospace-defence,Agro-chemicals,Air-conditioners,Air-transport-service,Alcoholic-beverages,Auto-ancillaries,Automobile,Bpo-and-ites,Banks,Bearings,Biotech,Bluechip,Cables,Capital-goods-electrical-equipment,Capital-goods-non-electrical-equipment,Carbon-black,Castings-forgings-fastners,Cement,Cement-products,Ceramic-products,Chemicals,Compressor,Computer-education,Construction,Consumer-durables,Credit-rating-agencies,Crude-oil-natural-gas,Data-center,Diagnostic,Diamond-gems-and-jewellery,Diversified,Dry-cells,Dyes-and-pigments,E-commerce-app-based-aggregator,Ev-electric-vehicle,Edible-oil,Education,Electronics,Energy,Engineering,Entertainment,Ethanol,Fmcg,Ferro-alloys,Fertilizers,Finance,Financial-services,Fintech,Food,Footwear,Gas-distribution,Glass-glass-products,Green-energy,Green-hydrogen,Healthcare,Hospital,Hotels-restaurants,Household-products,It-hardware,It-software,Infrastructure-developers-operators,Infrastructure-investment-trusts,Insurance,Leather,Logistics,Marine-port-services,Media-print-television-radio,Mining-mineral-products,Miscellaneous,Nbfc,Non-ferrous-metals,Oil-drill-allied,Psu,Packaging,Paints-varnish,Paper,Petrochemicals,Pharmaceuticals,Plantation-plantation-products,Plastic-products,Plywood-boards-laminates,Power-generation-distribution,Power-infrastructure,Printing-stationery,Quick-service-restaurant,Railways,Readymade-garments-apparells,Real-estate-investment-trusts,Realty,Refineries,Refractories,Renewable-energy,Retail,Rubber,Semi-conductor,Ship-building,Shipping,Solar-panel,Solar,Steel,Stock-commodity-brokers,Sugar,Tea-coffee,Telecomm-equipment-infra-services,Telecomm-service,Textiles,Tobacco-products,Trading,Travel-services,Tyres,Water-infra,Wind-energy
41,,,,,,,,Menon Bearings Ltd,,,,,,,,Premier Energies Ltd,KSB Ltd,,,,,,Elantas Beck India Ltd,,,,Parin Enterprises Ltd,,,,,,,,,,,,,,,,Siti Networks Ltd,,Indo US Bio-Tech Ltd,,,Crest Ventures Ltd,,,Euro India Fresh Foods Ltd,,,,,,Vijaya Diagnostic Centre Ltd,,,,,Datamatics Global Services Ltd,Ion Exchange (India) Ltd,,,,Snowman Logistics Ltd,,,,JITF Infra Logistics Ltd,,,,GAIL (India) Ltd,Shree Tirupati Balajee Agro Trading Co. Ltd,,,,Glenmark Pharmaceuticals Ltd,,Solve Plastic Products Ltd,,,,,,,,,Majestic Auto Ltd,,,,Salora International Ltd,,,,,,,Krishca Strapping Solutions Ltd,,,,,,Filatex Fashions Ltd,,Kothari Industrial Corporation Ltd,,,,
42,,,,,,,,Minda Corporation Ltd,,,,,,,,Quality Power Electrical Equipments Ltd,Latteys Industries Ltd,,,,,,Epigral Ltd,,,,Permanent Magnets Ltd,,,,,,,,,,,,,,,,Sri Adhikari Brothers Television Network Ltd,,Italian Edibles Ltd,,,CSL Finance Ltd,,,Megastar Foods Ltd,,,,,,Vimta Labs Ltd,,,,,Delaplex Ltd,IRB Infrastructure Developers Ltd,,,,TCI Express Ltd,,,,Jiya Eco-Products Ltd,,,,KIOCL Ltd,SPP Polymer Ltd,,,,Granules India Ltd,,Supreme Industries Ltd,,,,,,,,,Marathon Nextgen Realty Ltd,,,,Shankara Building Products Ltd,,,,,,,Kritika Wires Ltd,,,,,,Filatex India Ltd,,Kothari Products Ltd,,,,
43,,,,,,,,Motherson Sumi Wiring India Ltd,,,,,,,,Ravindra Energy Ltd,Lloyds Engineering Works Ltd,,,,,,Fairchem Organics Ltd,,,,PG Electroplast Ltd,,,,,,,,,,,,,,,,SRS Ltd,,Jeyyam Global Foods Ltd,,,Dam Capital Advisors Ltd,,,Nakoda Group Of Industries Ltd,,,,,,Yatharth Hospital & Trauma Care Services Ltd,,,,,Dev Information Technology Ltd,Ircon International Ltd,,,,Tejas Cargo India Ltd,,,,Kapston Services Ltd,,,,NHPC Ltd,Srivasavi Adhesive Tapes Ltd,,,,Gufic BioSciences Ltd,,Texmo Pipes & Products Ltd,,,,,,,,,Mason Infratech Ltd,,,,Shoppers Stop Ltd,,,,,,,Maharashtra Seamless Ltd,,,,,,Futura Polyesters Ltd,,Kridhan Infra Ltd,,,,
44,,,,,,,,Munjal Auto Industries Ltd,,,,,,,,Rishabh Instruments Ltd,Lokesh Machines Ltd,,,,,,Fine Organic Industries Ltd,,,,Pokarna Ltd,,,,,,,,,,,,,,,,Sun TV Network Ltd,,JHS Svendgaard Laboratories Ltd,,,DCM Financial Services Ltd,,,Hindustan Unilever Ltd,,,,,,,,,,,Diensten Tech Ltd,ISGEC Heavy Engineering  Ltd,,,,Timescan Logistics (India) Ltd,,,,Kesar Terminals & Infrastructure Ltd,,,,Container Corporation of India Ltd,TCPL Packaging Ltd,,,,Gujarat Themis Biosyn Ltd,,Tijaria Polypipes Ltd,,,,,,,,,Max Estates Ltd,,,,Spencers Retail Ltd,,,,,,,Mahamaya Steel Industries Ltd,,,,,,Gajanand International Ltd,,Le Merite Exports Ltd,,,,
45,,,,,,,,Munjal Showa Ltd,,,,,,,,S & S Power Switchgear Ltd,Manugraph India Ltd,,,,,,Fineotex Chemical Ltd,,,,Priti International Ltd,,,,,,,,,,,,,,,,Thinking Hats Entertainment Solutions Ltd,,Jyothy Labs Ltd,,,Delphi World Money Ltd,,,Sarveshwar Foods Ltd,,,,,,,,,,,DigiSpice Technologies Ltd,ITD Cementation India Ltd,,,,Total Transport Systems Ltd,,,,Kesoram Industries Ltd,,,,Indian Railway Finance Corporation Ltd,TPI India Ltd,,,,Hester Biosciences Ltd,,Time Technoplast Ltd,,,,,,,,,Medi Caps Ltd,,,,Trent Ltd,,,,,,,Man Industries (India) Ltd,,,,,,Ganesha Ecosphere Ltd,,Lloyds Enterprises Ltd,,,,
46,,,,,,,,NDR Auto Components Ltd,,,,,,,,Saakshi Medtech & Panels Ltd,Mazda Ltd,,,,,,Foseco India Ltd,,,,Prizor Viztech Ltd,,,,,,,,,,,,,,,,Tips Films Ltd,,Karuturi Global Ltd,,,Dhani Services Ltd Partly Paid Up,,,Gopal Snacks Ltd,,,,,,,,,,,Dion Global Solutions Ltd,IVRCL Ltd,,,,TransIndia Real Estate Ltd,,,,KHFM Hospitality & Facility Mgt. Services Ltd,,,,Mazagon Dock Shipbuilders Ltd,TPL Plastech Ltd,,,,Hikal Ltd,,Tokyo Plast International Ltd,,,,,,,,,Modipon Ltd,,,,V2 Retail Ltd,,,,,,,Manaksia Coated Metals & Industries Ltd,,,,,,Gangotri Textiles Ltd,,Lypsa Gems & Jewellery Ltd,,,,
47,,,,,,,,OBSC Perfection Ltd,,,,,,,,Sahaj Solar Ltd,Nitin Fire Protection Industries Ltd,,,,,,Futuristic Offshore Services and Chemical Ltd,,,,Rexpro Enterprises Ltd,,,,,,,,,,,,,,,,Tips Music Ltd,,Kaveri Seed Company Ltd,,,Dhani Services Ltd,,,Annapurna Swadisht Ltd,,,,,,,,,,,DRC Systems India Ltd,J Kumar Infraprojects Ltd,,,,Transport Corporation of India Ltd,,,,Kontor Space Ltd,,,,NBCC (India) Ltd,Trans Freight Containers Ltd,,,,Indoco Remedies Ltd,,Tulsi Extrusions Ltd,,,,,,,,,Motor & General Finance Ltd,,,,Vintage Coffee & Beverages Ltd,,,,,,,Manaksia Steels Ltd,,,,,,Garware Technical Fibres Ltd,,Maheshwari Logistics Ltd,,,,
48,,,,,,,,Omax Autos Ltd,,,,,,,,Salzer Electronics Ltd,Panasonic Carbon India Company Ltd,,,,,,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,,,,Sharp India Ltd,,,,,,,,,,,,,,,,Touchwood Entertainment Ltd,,KCK Industries Ltd,,,Dhunseri Investments Ltd,,,Mukka Proteins Ltd,,,,,,,,,,,Dynacons Systems & Solutions Ltd,K E C International Ltd,,,,TVS Supply Chain Solutions Ltd,,,,Kotyark Industries Ltd,,,,Mishra Dhatu Nigam Ltd,Uflex Ltd,,,,Ind-Swift Ltd,,V I P Industries Ltd,,,,,,,,,NESCO Ltd,,,,V-Mart Retail Ltd,,,,,,,Mangalam Alloys Ltd,,,,,,GB Global Ltd,,Manaksia Ltd,,,,
49,,,,,,,,PAE Ltd,,,,,,,,Schneider Electric Infrastructure Ltd,Perfect Infraengineers Ltd,,,,,,Galaxy Surfactants Ltd,,,,Sheela Foam Ltd,,,,,,,,,,,,,,,,TV Vision Ltd,,Kohinoor Foods Ltd,,,Dolat Algotech Ltd,,,Goyal Salt Ltd,,,,,,,,,,,E2E Networks Ltd,K.P. Energy Ltd,,,,VRL Logistics Ltd,,,,Krystal Integrated Services Ltd,,,,Bharat Dynamics Ltd,Uma Converter Ltd,,,,Ind-Swift Laboratories Ltd,,Vikas Ecotech Ltd Partly Paidup,,,,,,,,,Nila Spaces Ltd,,,,Warren Tea Ltd,,,,,,,Mangalam Worldwide Ltd,,,,,,Gem Spinners India Ltd,,Mangalam Global Enterprise Ltd,,,,
50,,,,,,,,Pavna Industries Ltd,,,,,,,,Servotech Renewable Power System Ltd,Pitti Engineering Ltd,,,,,,GHCL Ltd,,,,Sonam Ltd,,,,,,,,,,,,,,,,Vels Film International Ltd,,Kore Foods Ltd,,,Edelweiss Financial Services Ltd,,,Sheetal Cool Products Ltd,,,,,,,,,,,eClerx Services Ltd,K2 Infragen Ltd,,,,Western Carriers (India) Ltd,,,,Lamosaic India Ltd,,,,REC Ltd,Worth Peripherals Ltd,,,,Infinium Pharmachem Ltd,,Wim Plast Ltd,,,,,,,,,Oberoi Realty Ltd,,,,,,,,,,,Mideast Integrated Steels Ltd,,,,,,GHCL Textiles Ltd,,Metroglobal Ltd,,,,
